24
       1       2
       3       4
       5       7
       8      10
      11      13
      14      16
      17      18
      19      22
      23      25
      26      30
      31      34
      35      37
      38      39
      40      42
      43      46
      47      50
      51      53
      54      56
      57      59
      60      63
      64      66
      67      70
      71      73
      74      76
76
     1      2     25.90020   1.5000    25.00
     1      3     23.40347   1.0000    25.00
     2      1     25.90020   1.5000    25.00
     2      6      4.95818   1.2500    25.00
     3      1     23.40347   1.0000    25.00
     3      4     17.11052   1.0000    25.00
     3     12     23.40347   1.0000    25.00
     4      3     17.11052   1.0000    25.00
     4      5     17.78279   0.5000    25.00
     4     11      4.90883   1.5000    25.00
     5      4     17.78279   0.5000    25.00
     5      6      4.94800   1.0000    25.00
     5      9     10.00000   1.2500    25.00
     6      2      4.95818   1.2500    25.00
     6      5      4.94800   1.0000    25.00
     6      8      4.89859   0.5000    25.00
     7      8      7.84181   0.7500    25.00
     7     18     23.40347   0.5000    25.00
     8      6      4.89859   0.5000    25.00
     8      7      7.84181   0.7500    25.00
     8      9      5.05019   2.5000    25.00
     8     16      5.04582   1.2500    25.00
     9      5     10.00000   1.2500    25.00
     9      8      5.05019   2.5000    25.00
     9     10     13.91579   0.7500    25.00
    10      9     13.91579   0.7500    25.00
    10     11     10.00000   1.2500    25.00
    10     15     13.51200   1.5000    25.00
    10     16      4.85492   1.0000    25.00
    10     17      4.99351   2.0000    25.00
    11      4      4.90883   1.5000    25.00
    11     10     10.00000   1.2500    25.00
    11     12      4.90883   1.5000    25.00
    11     14      4.87651   1.0000    25.00
    12      3     23.40347   1.0000    25.00
    12     11      4.90883   1.5000    25.00
    12     13     25.90020   0.7500    25.00
    13     12     25.90020   0.7500    25.00
    13     24      5.09126   1.0000    25.00
    14     11      4.87651   1.0000    25.00
    14     15      5.12753   1.2500    25.00
    14     23      4.92479   1.0000    25.00
    15     10     13.51200   1.5000    25.00
    15     14      5.12753   1.2500    25.00
    15     19     14.56475   0.7500    25.00
    15     22      9.59918   0.7500    25.00
    16      8      5.04582   1.2500    25.00
    16     10      4.85492   1.0000    25.00
    16     17      5.22991   0.5000    25.00
    16     18     19.67990   0.7500    25.00
    17     10      4.99351   2.0000    25.00
    17     16      5.22991   0.5000    25.00
    17     19      4.82395   0.5000    25.00
    18      7     23.40347   0.5000    25.00
    18     16     19.67990   0.7500    25.00
    18     20     23.40347   1.0000    25.00
    19     15     14.56475   0.7500    25.00
    19     17      4.82395   0.5000    25.00
    19     20      5.00261   1.0000    25.00
    20     18     23.40347   1.0000    25.00
    20     19      5.00261   1.0000    25.00
    20     21      5.05991   1.5000    25.00
    20     22      5.07570   1.2500    25.00
    21     20      5.05991   1.5000    25.00
    21     22      5.22991   0.5000    25.00
    21     24      4.88536   0.7500    25.00
    22     15      9.59918   0.7500    25.00
    22     20      5.07570   1.2500    25.00
    22     21      5.22991   0.5000    25.00
    22     23      5.00000   1.0000    25.00
    23     14      4.92479   1.0000    25.00
    23     22      5.00000   1.0000    25.00
    23     24      5.07851   0.5000    25.00
    24     13      5.09126   1.0000    25.00
    24     21      4.88536   0.7500    25.00
    24     23      5.07851   0.5000    25.00
